REF_CLOSING_DESCRIPTION,ENTITY_DESCRIPTION_SHORT,ENTITY_TYPE,DEB_TIME,FIN_TIME,UPDATE_TIME,WORK_DATE
,Log Flume,ATTR,2022-05-06 08:18:00.000,2022-05-06 23:10:00.000,2022-05-07 07:53:19.000,2022-05-06
Fermeture Réhab,Top Spin,ATTR,2020-01-31 23:59:00.000,2020-01-31 23:59:00.000,2020-02-01 07:51:55.000,2020-01-31
,Dizzy Dropper,ATTR,2022-04-10 08:30:00.000,2022-04-10 22:07:00.000,2022-04-11 07:50:24.000,2022-04-10
,Bungee Jump,ATTR,2019-06-03 09:33:00.000,2019-06-03 23:01:00.000,2019-06-04 07:51:24.000,2019-06-03
,Zipline,ATTR,2018-04-17 08:25:00.000,2018-04-17 22:14:00.000,2018-04-18 08:19:51.000,2018-04-17
,Roller Coaster,ATTR,2019-12-10 10:00:00.000,2019-12-10 18:01:00.000,2019-12-11 07:41:48.000,2019-12-10
,Roller Coaster,ATTR,2018-04-16 10:00:00.000,2018-04-16 19:44:00.000,2018-04-17 08:22:27.000,2018-04-16
,Circus Train,ATTR,2019-09-25 08:56:00.000,2019-09-25 19:52:00.000,2019-09-26 07:39:55.000,2019-09-25
,Merry Go Round,ATTR,2019-12-22 08:00:00.000,2019-12-22 22:11:00.000,2019-12-23 07:17:49.000,2019-12-22
,Drop Tower,ATTR,2018-08-24 08:30:00.000,2018-08-24 22:20:00.000,2018-08-25 08:47:35.000,2018-08-24
Fermeture Réhab,Top Spin,ATTR,2019-10-25 23:59:00.000,2019-10-25 23:59:00.000,2019-10-26 08:25:25.000,2019-10-25
,Superman Ride,ATTR,2019-10-31 08:30:00.000,2019-10-31 17:00:00.000,2019-11-01 08:22:30.000,2019-10-31
,Reverse Bungee,ATTR,2019-06-11 08:30:00.000,2019-06-11 19:22:00.000,2019-06-12 07:47:45.000,2019-06-11
,Circus Train,ATTR,2018-05-24 10:00:00.000,2018-05-24 21:49:00.000,2018-05-25 07:43:01.000,2018-05-24
,Dizzy Dropper,ATTR,2019-01-02 08:00:00.000,2019-01-02 21:20:00.000,2019-01-03 08:44:38.000,2019-01-02
,Spiral Slide,ATTR,2018-01-02 08:00:00.000,2018-01-02 18:21:00.000,2018-01-03 09:38:06.000,2018-01-02
,Pirate Ship,ATTR,2020-02-08 09:48:00.000,2020-02-08 20:16:00.000,2020-02-09 08:09:47.000,2020-02-08
,Crazy Bus,ATTR,2018-12-05 09:11:00.000,2018-12-05 17:01:00.000,2018-12-06 08:16:49.000,2018-12-05
Fermeture Réhab,Giga Coaster,ATTR,2022-06-17 23:59:00.000,2022-06-17 23:59:00.000,2022-06-18 08:19:16.000,2022-06-17
,Log Flume,ATTR,2019-01-31 08:30:00.000,2019-01-31 19:00:00.000,2019-02-01 08:46:37.000,2019-01-31
,Skyway,ATTR,2019-05-11 08:30:00.000,2019-05-11 20:00:00.000,2019-05-12 07:38:22.000,2019-05-11
Fermeture Réhab,Flying Coaster,ATTR,2018-07-01 23:59:00.000,2018-07-01 23:59:00.000,2018-07-02 07:35:28.000,2018-07-01
,Aeroplane Ride,ATTR,2022-06-21 08:30:00.000,2022-06-21 20:18:00.000,2022-06-22 09:12:01.000,2022-06-21
,Water Ride,ATTR,2019-02-21 09:47:00.000,2019-02-21 18:00:00.000,2019-02-22 07:33:28.000,2019-02-21
,Crazy Dance,ATTR,2019-12-25 10:00:00.000,2019-12-25 22:12:00.000,2019-12-26 07:39:43.000,2019-12-25
,Crazy Dance,ATTR,2018-08-20 09:31:00.000,2018-08-20 23:14:00.000,2018-08-21 08:21:03.000,2018-08-20
,Spiral Slide,ATTR,2019-05-23 08:30:00.000,2019-05-23 20:29:00.000,2019-05-24 07:43:20.000,2019-05-23
,Inverted Coaster,ATTR,2022-06-18 09:18:00.000,2022-06-18 17:00:00.000,2022-06-19 07:58:29.000,2022-06-18
,Roller Coaster,ATTR,2018-05-26 10:00:00.000,2018-05-26 19:44:00.000,2018-05-27 07:41:18.000,2018-05-26
,Rapids Ride,ATTR,2018-10-14 10:00:00.000,2018-10-14 19:12:00.000,2018-10-15 08:01:40.000,2018-10-14
,PortAventura World,PARK,2018-10-12 10:00:00.000,2018-10-12 20:00:00.000,2018-10-13 07:36:31.000,2018-10-12
,Giga Coaster,ATTR,2019-05-25 09:38:00.000,2019-05-25 22:14:00.000,2019-05-26 07:48:50.000,2019-05-25
,Giga Coaster,ATTR,2019-08-01 09:09:00.000,2019-08-01 22:14:00.000,2019-08-02 08:09:01.000,2019-08-01
,Bumper Cars,ATTR,2019-06-27 08:30:00.000,2019-06-27 22:07:00.000,2019-06-28 07:45:31.000,2019-06-27
,Aeroplane Ride,ATTR,2018-01-11 10:00:00.000,2018-01-11 18:08:00.000,2018-01-12 08:48:46.000,2018-01-11
,Reverse Bungee,ATTR,2019-04-13 09:59:00.000,2019-04-13 20:16:00.000,2019-04-14 08:51:34.000,2019-04-13
,Bumper Cars,ATTR,2019-06-01 08:30:00.000,2019-06-01 22:11:00.000,2019-06-02 07:53:38.000,2019-06-01
,Go-Karts,ATTR,2018-02-14 10:00:00.000,2018-02-14 20:06:00.000,2018-02-15 07:59:33.000,2018-02-14
,Oz Theatre,ATTR,2018-01-16 11:00:00.000,2018-01-16 17:14:00.000,2018-01-17 07:51:41.000,2018-01-16
,Zipline,ATTR,2019-10-04 07:55:00.000,2019-10-04 23:48:00.000,2019-10-05 07:38:35.000,2019-10-04
,Tivoli Gardens,PARK,2018-11-02 10:00:00.000,2018-11-02 20:00:00.000,2018-11-03 07:59:52.000,2018-11-02
,Giant Wheel,ATTR,2022-06-10 08:30:00.000,2022-06-10 23:24:00.000,2022-06-11 08:09:53.000,2022-06-10
,Circus Train,ATTR,2018-02-13 10:00:00.000,2018-02-13 18:00:00.000,2018-02-14 08:36:46.000,2018-02-13
,Water Ride,ATTR,2022-04-04 09:30:00.000,2022-04-04 22:01:00.000,2022-04-05 08:50:08.000,2022-04-04
,Superman Ride,ATTR,2018-11-17 09:00:00.000,2018-11-17 17:50:00.000,2018-11-18 08:18:10.000,2018-11-17
,Spinning Coaster,ATTR,2018-12-03 08:29:00.000,2018-12-03 20:17:00.000,2018-12-04 07:39:22.000,2018-12-03
Fermeture Opérationnelle,Inverted Coaster,ATTR,2019-05-17 23:59:00.000,2019-05-17 23:59:00.000,2019-05-18 07:40:29.000,2019-05-17
,Dizzy Dropper,ATTR,2019-09-08 08:30:00.000,2019-09-08 20:16:00.000,2019-09-09 07:59:06.000,2019-09-08
,Flying Coaster,ATTR,2018-05-23 10:00:00.000,2018-05-23 23:10:00.000,2018-05-24 08:15:43.000,2018-05-23
,Circus Train,ATTR,2018-06-30 09:30:00.000,2018-06-30 21:30:00.000,2018-07-01 08:20:42.000,2018-06-30
,Merry Go Round,ATTR,2022-06-02 09:12:00.000,2022-06-02 23:04:00.000,2022-06-03 07:57:58.000,2022-06-02
,Haunted House,ATTR,2018-12-22 08:30:00.000,2018-12-22 20:45:00.000,2018-12-23 07:53:43.000,2018-12-22
,Spinning Coaster,ATTR,2018-01-20 09:30:00.000,2018-01-20 21:00:00.000,2018-01-21 08:22:14.000,2018-01-20
,Spiral Slide,ATTR,2018-08-05 08:30:00.000,2018-08-05 20:28:00.000,2018-08-06 07:47:57.000,2018-08-05
,Tivoli Gardens,PARK,2019-05-29 08:30:00.000,2019-05-29 09:30:00.000,2019-05-30 07:46:28.000,2019-05-29
Fermeture Réhab,Top Spin,ATTR,2019-05-31 23:59:00.000,2019-05-31 23:59:00.000,2019-06-01 07:36:13.000,2019-05-31
,Scooby Doo,ATTR,2019-05-11 08:30:00.000,2019-05-11 20:10:00.000,2019-05-12 07:38:24.000,2019-05-11
Fermeture Opérationnelle,Himalaya Ride,ATTR,2019-08-23 23:59:00.000,2019-08-23 23:59:00.000,2019-08-24 08:14:50.000,2019-08-23
,Circus Train,ATTR,2018-02-08 10:00:00.000,2018-02-08 18:00:00.000,2018-02-09 07:14:01.000,2018-02-08
,Water Ride,ATTR,2019-08-09 09:28:00.000,2019-08-09 22:18:00.000,2019-08-10 07:53:18.000,2019-08-09
Fermeture Réhab,Dizzy Dropper,ATTR,2018-09-14 23:59:00.000,2018-09-14 23:59:00.000,2018-09-15 08:47:42.000,2018-09-14
,Inverted Coaster,ATTR,2022-07-11 09:29:00.000,2022-07-11 18:13:00.000,2022-07-12 07:55:47.000,2022-07-11
,PortAventura World,PARK,2018-03-23 08:30:00.000,2018-03-23 09:30:00.000,2018-03-24 09:00:25.000,2018-03-23
,Pirate Ship,ATTR,2019-12-26 08:57:00.000,2019-12-26 22:03:00.000,2019-12-27 07:40:33.000,2019-12-26
,Oz Theatre,ATTR,2018-10-12 10:44:00.000,2018-10-12 17:27:00.000,2018-10-13 07:36:15.000,2018-10-12
,Spiral Slide,ATTR,2019-07-07 08:30:00.000,2019-07-07 20:27:00.000,2019-07-08 07:32:11.000,2019-07-07
,Tivoli Gardens,PARK,2018-02-07 10:00:00.000,2018-02-07 19:30:00.000,2018-02-08 08:56:59.000,2018-02-07
,Sling Shot,ATTR,2018-02-09 09:57:00.000,2018-02-09 19:04:00.000,2018-02-10 08:21:54.000,2018-02-09
,Kiddie Coaster,ATTR,2019-06-12 10:00:00.000,2019-06-12 20:08:00.000,2019-06-13 08:09:21.000,2019-06-12
,Crazy Dance,ATTR,2018-09-23 09:50:00.000,2018-09-23 21:06:00.000,2018-09-24 08:01:09.000,2018-09-23
,Bungee Jump,ATTR,2018-05-04 09:30:00.000,2018-05-04 22:04:00.000,2018-06-06 17:29:29.000,2018-05-04
,Kiddie Coaster,ATTR,2018-12-29 08:28:00.000,2018-12-29 17:09:00.000,2018-12-30 07:29:43.000,2018-12-29
,Tivoli Gardens,PARK,2018-03-28 10:00:00.000,2018-03-28 18:00:00.000,2018-03-29 08:27:18.000,2018-03-28
,Reverse Bungee,ATTR,2022-06-04 08:30:00.000,2022-06-04 20:29:00.000,2022-06-05 08:22:00.000,2022-06-04
,Scooby Doo,ATTR,2019-07-29 08:18:00.000,2019-07-29 20:14:00.000,2019-07-30 07:37:47.000,2019-07-29
,PortAventura World,PARK,2022-07-28 08:30:00.000,2022-07-28 09:30:00.000,2022-07-29 10:21:57.000,2022-07-28
,Circus Train,ATTR,2018-12-05 09:23:00.000,2018-12-05 17:27:00.000,2018-12-06 08:16:45.000,2018-12-05
,Tivoli Gardens,PARK,2019-08-02 10:00:00.000,2019-08-02 20:00:00.000,2019-08-03 07:53:57.000,2019-08-02
,Merry Go Round,ATTR,2019-09-12 09:40:00.000,2019-09-12 19:21:00.000,2019-09-13 08:03:28.000,2019-09-12
Fermeture Réhab,Top Spin,ATTR,2019-11-04 23:59:00.000,2019-11-04 23:59:00.000,2019-11-05 08:11:32.000,2019-11-04
,Tivoli Gardens,PARK,2019-09-03 10:00:00.000,2019-09-03 18:00:00.000,2019-09-04 08:31:55.000,2019-09-03
,Inverted Coaster,ATTR,2022-07-18 09:03:00.000,2022-07-18 16:55:00.000,2022-07-19 07:42:27.000,2022-07-18
,Giant Wheel,ATTR,2022-07-26 08:30:00.000,2022-07-26 23:16:00.000,2022-07-27 09:03:51.000,2022-07-26
Fermeture Réhab,Inverted Coaster,ATTR,2019-11-04 23:59:00.000,2019-11-04 23:59:00.000,2019-11-05 08:09:59.000,2019-11-04
Fermeture Réhab,Drop Tower,ATTR,2019-03-15 23:59:00.000,2019-03-15 23:59:00.000,2019-03-16 07:52:10.000,2019-03-15
Fermeture Réhab,Himalaya Ride,ATTR,2018-07-04 23:59:00.000,2018-07-04 23:59:00.000,2018-07-05 08:41:39.000,2018-07-04
Fermeture Réhab,Superman Ride,ATTR,2018-02-10 23:59:00.000,2018-02-10 23:59:00.000,2018-02-11 07:50:49.000,2018-02-10
,Bumper Cars,ATTR,2020-02-16 08:30:00.000,2020-02-16 20:01:00.000,2020-02-17 07:27:16.000,2020-02-16
,Monorail,ATTR,2019-08-13 08:30:00.000,2019-08-13 20:57:00.000,2019-08-14 07:39:50.000,2019-08-13
,Giant Wheel,ATTR,2018-05-24 10:00:00.000,2018-05-24 23:11:00.000,2018-05-25 07:43:05.000,2018-05-24
Fermeture Réhab,Top Spin,ATTR,2019-09-10 23:59:00.000,2019-09-10 23:59:00.000,2019-09-11 07:26:02.000,2019-09-10
,Himalaya Ride,ATTR,2019-11-10 09:47:00.000,2019-11-10 21:15:00.000,2019-11-11 07:21:46.000,2019-11-10
,Crazy Bus,ATTR,2019-05-14 08:30:00.000,2019-05-14 19:20:00.000,2019-05-15 07:51:01.000,2019-05-14
,Circus Train,ATTR,2019-04-15 09:55:00.000,2019-04-15 20:51:00.000,2019-04-16 08:19:08.000,2019-04-15
Fermeture Réhab,Pirate Ship,ATTR,2019-07-07 23:59:00.000,2019-07-07 23:59:00.000,2019-07-08 07:32:00.000,2019-07-07
Fermeture Réhab,Crazy Dance,ATTR,2022-06-28 23:59:00.000,2022-06-28 23:59:00.000,2022-06-29 07:55:34.000,2022-06-28
,Drop Tower,ATTR,2019-09-29 08:30:00.000,2019-09-29 20:00:00.000,2019-09-30 07:44:10.000,2019-09-29
,Go-Karts,ATTR,2018-07-15 08:30:00.000,2018-07-15 23:07:00.000,2018-07-16 07:29:35.000,2018-07-15
,Skyway,ATTR,2022-05-31 08:28:00.000,2022-05-31 20:10:00.000,2022-06-01 10:36:11.000,2022-05-31
,Spiral Slide,ATTR,2019-11-25 08:30:00.000,2019-11-25 18:15:00.000,2019-11-26 07:28:52.000,2019-11-25
,Pirate Ship,ATTR,2022-07-11 09:30:00.000,2022-07-11 23:15:00.000,2022-07-12 07:54:17.000,2022-07-11
,Gondola,ATTR,2018-02-24 09:47:00.000,2018-02-24 17:26:00.000,2018-02-25 08:41:42.000,2018-02-24
,Kiddie Coaster,ATTR,2022-08-02 09:29:00.000,2022-08-02 20:11:00.000,2022-08-03 08:11:31.000,2022-08-02
,Bungee Jump,ATTR,2018-08-24 09:33:00.000,2018-08-24 23:06:00.000,2018-08-25 08:47:28.000,2018-08-24
,Flying Coaster,ATTR,2018-03-21 10:00:00.000,2018-03-21 20:40:00.000,2018-03-22 09:02:50.000,2018-03-21
,Tivoli Gardens,PARK,2018-03-13 10:00:00.000,2018-03-13 20:00:00.000,2018-03-14 08:15:25.000,2018-03-13
,Gondola,ATTR,2019-08-22 09:39:00.000,2019-08-22 20:26:00.000,2019-08-23 08:12:26.000,2019-08-22
,PortAventura World,PARK,2022-08-09 09:30:00.000,2022-08-09 23:00:00.000,2022-08-10 07:51:22.000,2022-08-09
,Spinning Coaster,ATTR,2019-08-19 09:31:00.000,2019-08-19 23:13:00.000,2019-08-20 07:48:53.000,2019-08-19
,Oz Theatre,ATTR,2018-12-23 10:38:00.000,2018-12-23 17:22:00.000,2018-12-24 07:17:31.000,2018-12-23
,Reverse Bungee,ATTR,2019-01-13 08:19:00.000,2019-01-13 18:24:00.000,2019-01-14 06:57:59.000,2019-01-13
,Bungee Jump,ATTR,2018-02-06 10:00:00.000,2018-02-06 20:00:00.000,2018-02-07 09:09:26.000,2018-02-06
,Tivoli Gardens,PARK,2018-07-14 10:00:00.000,2018-07-14 20:00:00.000,2018-07-15 07:59:33.000,2018-07-14
,Spinning Coaster,ATTR,2019-01-01 08:30:00.000,2019-01-01 22:14:00.000,2019-01-02 09:08:42.000,2019-01-01
,Tivoli Gardens,PARK,2022-04-26 09:30:00.000,2022-04-26 20:00:00.000,2022-04-27 09:06:06.000,2022-04-26
Fermeture Réhab,Giant Wheel,ATTR,2019-03-20 23:59:00.000,2019-03-20 23:59:00.000,2019-03-21 07:41:27.000,2019-03-20
,Drop Tower,ATTR,2022-05-24 08:21:00.000,2022-05-24 22:18:00.000,2022-05-25 07:57:57.000,2022-05-24
,Circus Train,ATTR,2019-05-02 10:00:00.000,2019-05-02 21:14:00.000,2019-06-05 09:12:19.000,2019-05-02
,Tivoli Gardens,PARK,2019-09-11 08:30:00.000,2019-09-11 09:30:00.000,2019-09-12 09:09:14.000,2019-09-11
,Scooby Doo,ATTR,2018-10-18 08:30:00.000,2018-10-18 18:10:00.000,2018-10-19 07:34:49.000,2018-10-18
,Merry Go Round,ATTR,2019-07-20 09:27:00.000,2019-07-20 23:14:00.000,2019-07-21 09:09:46.000,2019-07-20
,Bungee Jump,ATTR,2018-05-27 09:57:00.000,2018-05-27 23:01:00.000,2018-05-28 08:02:03.000,2018-05-27
,Roller Coaster,ATTR,2022-06-24 10:00:00.000,2022-06-24 17:13:00.000,2022-06-25 08:03:10.000,2022-06-24
,Gondola,ATTR,2018-05-09 09:52:00.000,2018-05-09 20:19:00.000,2018-05-10 07:42:50.000,2018-05-09
,Top Spin,ATTR,2018-09-28 10:45:00.000,2018-09-28 17:35:00.000,2018-09-29 08:31:53.000,2018-09-28
,Tivoli Gardens,PARK,2018-01-27 10:00:00.000,2018-01-27 19:00:00.000,2018-01-28 08:08:43.000,2018-01-27
,Swing Ride,ATTR,2019-12-07 08:00:00.000,2019-12-07 22:03:00.000,2019-12-08 07:36:34.000,2019-12-07
,Swing Ride,ATTR,2022-06-12 08:30:00.000,2022-06-12 22:02:00.000,2022-06-13 12:05:20.000,2022-06-12
,Spinning Coaster,ATTR,2018-04-10 10:00:00.000,2018-04-10 22:11:00.000,2018-04-11 08:05:24.000,2018-04-10
,Bungee Jump,ATTR,2019-04-08 09:28:00.000,2019-04-08 22:12:00.000,2019-04-09 07:45:20.000,2019-04-08
,Superman Ride,ATTR,2020-01-02 08:00:00.000,2020-01-02 17:20:00.000,2020-01-03 08:01:09.000,2020-01-02
,Tivoli Gardens,PARK,2018-03-12 10:00:00.000,2018-03-12 20:00:00.000,2018-03-13 09:03:22.000,2018-03-12
,Swing Ride,ATTR,2019-02-05 08:30:00.000,2019-02-05 18:13:00.000,2019-02-06 08:36:58.000,2019-02-05
,Tivoli Gardens,PARK,2018-02-04 08:30:00.000,2018-02-04 09:30:00.000,2018-02-05 07:52:30.000,2018-02-04
,Sling Shot,ATTR,2018-07-25 08:36:00.000,2018-07-25 20:24:00.000,2018-07-26 07:38:22.000,2018-07-25
,Giant Wheel,ATTR,2019-08-27 08:30:00.000,2019-08-27 23:12:00.000,2019-08-28 07:43:22.000,2019-08-27
,Giant Wheel,ATTR,2018-09-14 09:56:00.000,2018-09-14 21:14:00.000,2018-09-15 08:47:45.000,2018-09-14
,Reverse Bungee,ATTR,2019-05-17 08:27:00.000,2019-05-17 19:26:00.000,2019-05-18 07:40:37.000,2019-05-17
,Pirate Ship,ATTR,2018-09-16 09:39:00.000,2018-09-16 21:18:00.000,2018-09-17 08:34:53.000,2018-09-16
,Tivoli Gardens,PARK,2018-11-05 08:30:00.000,2018-11-05 09:30:00.000,2018-11-06 07:34:25.000,2018-11-05
Fermeture Réhab,Superman Ride,ATTR,2019-01-29 23:59:00.000,2019-01-29 23:59:00.000,2019-01-30 07:40:23.000,2019-01-29
,PortAventura World,PARK,2019-11-15 10:00:00.000,2019-11-15 19:00:00.000,2019-11-16 08:22:03.000,2019-11-15
,Inverted Coaster,ATTR,2022-07-09 09:24:00.000,2022-07-09 17:15:00.000,2022-07-10 07:45:47.000,2022-07-09
,Crazy Dance,ATTR,2019-05-29 09:22:00.000,2019-05-29 23:00:00.000,2019-05-30 07:46:01.000,2019-05-29
,Monorail,ATTR,2019-04-26 08:30:00.000,2019-04-26 20:35:00.000,2019-04-27 09:26:45.000,2019-04-26
,Giga Coaster,ATTR,2018-11-13 10:00:00.000,2018-11-13 18:18:00.000,2018-11-14 08:02:44.000,2018-11-13
,Haunted House,ATTR,2018-01-13 09:43:00.000,2018-01-13 19:53:00.000,2018-01-14 08:29:04.000,2018-01-13
,Swing Ride,ATTR,2018-11-26 08:30:00.000,2018-11-26 18:14:00.000,2018-11-27 07:41:58.000,2018-11-26
,Aeroplane Ride,ATTR,2018-02-21 08:42:00.000,2018-02-21 20:04:00.000,2018-02-22 08:36:37.000,2018-02-21
,Rapids Ride,ATTR,2019-07-29 10:00:00.000,2019-07-29 20:24:00.000,2019-07-30 07:37:40.000,2019-07-29
,Bumper Cars,ATTR,2019-10-29 08:30:00.000,2019-10-29 21:08:00.000,2019-10-30 07:59:42.000,2019-10-29
,Haunted House,ATTR,2018-10-05 09:42:00.000,2018-10-05 19:04:00.000,2018-10-06 08:48:56.000,2018-10-05
Fermeture Réhab,Kiddie Coaster,ATTR,2018-02-20 23:59:00.000,2018-02-20 23:59:00.000,2018-02-21 08:39:44.000,2018-02-20
,Drop Tower,ATTR,2018-04-29 08:30:00.000,2018-04-29 21:07:00.000,2018-04-30 07:45:45.000,2018-04-29
,Giant Wheel,ATTR,2018-09-19 10:00:00.000,2018-09-19 20:46:00.000,2018-09-20 07:50:54.000,2018-09-19
,Tivoli Gardens,PARK,2022-07-09 09:30:00.000,2022-07-09 20:00:00.000,2022-07-10 07:45:57.000,2022-07-09
,PortAventura World,PARK,2018-08-10 08:30:00.000,2018-08-10 09:30:00.000,2018-08-11 08:33:08.000,2018-08-10
,PortAventura World,PARK,2018-05-25 10:00:00.000,2018-05-25 23:00:00.000,2018-05-26 07:50:30.000,2018-05-25
,Aeroplane Ride,ATTR,2018-11-11 08:44:00.000,2018-11-11 20:05:00.000,2018-11-12 08:11:24.000,2018-11-11
Fermeture Réhab,Kiddie Coaster,ATTR,2018-01-22 23:59:00.000,2018-01-22 23:59:00.000,2018-01-23 09:01:55.000,2018-01-22
,Scooby Doo,ATTR,2018-02-10 08:27:00.000,2018-02-10 20:14:00.000,2018-02-11 07:50:54.000,2018-02-10
Fermeture Réhab,Superman Ride,ATTR,2018-01-17 23:59:00.000,2018-01-17 23:59:00.000,2018-01-18 07:56:23.000,2018-01-17
,Tivoli Gardens,PARK,2019-03-21 10:00:00.000,2019-03-21 18:00:00.000,2019-03-22 07:45:24.000,2019-03-21
,PortAventura World,PARK,2019-08-07 10:00:00.000,2019-08-07 23:00:00.000,2019-08-08 07:44:49.000,2019-08-07
,Crazy Dance,ATTR,2018-12-30 08:47:00.000,2018-12-30 22:13:00.000,2018-12-31 07:34:39.000,2018-12-30
,Swing Ride,ATTR,2022-07-23 08:30:00.000,2022-07-23 22:21:00.000,2022-07-24 07:50:49.000,2022-07-23
,Superman Ride,ATTR,2019-02-22 09:07:00.000,2019-02-22 17:53:00.000,2019-02-23 07:34:39.000,2019-02-22
,Water Ride,ATTR,2019-08-01 08:30:00.000,2019-08-01 22:10:00.000,2019-08-02 08:08:55.000,2019-08-01
,Spinning Coaster,ATTR,2018-03-28 08:33:00.000,2018-03-28 21:14:00.000,2018-03-29 08:13:36.000,2018-03-28
,Flying Coaster,ATTR,2019-04-07 09:53:00.000,2019-04-07 22:13:00.000,2019-04-08 07:39:49.000,2019-04-07
,Pirate Ship,ATTR,2018-10-25 09:18:00.000,2018-10-25 22:26:00.000,2018-10-26 08:46:15.000,2018-10-25
,Drop Tower,ATTR,2019-01-15 08:30:00.000,2019-01-15 17:40:00.000,2019-01-16 09:20:24.000,2019-01-15
,Inverted Coaster,ATTR,2018-04-04 09:52:00.000,2018-04-04 17:44:00.000,2018-04-05 07:48:54.000,2018-04-04
,Bungee Jump,ATTR,2022-05-25 09:29:00.000,2022-05-25 23:04:00.000,2022-05-26 09:08:08.000,2022-05-25
,Water Ride,ATTR,2019-11-12 08:30:00.000,2019-11-12 18:13:00.000,2019-11-13 07:39:27.000,2019-11-12
Fermeture Réhab,Crazy Dance,ATTR,2022-05-08 23:59:00.000,2022-05-08 23:59:00.000,2022-05-09 09:53:47.000,2022-05-08
,Sling Shot,ATTR,2018-03-30 08:36:00.000,2018-03-30 18:22:00.000,2018-03-31 08:47:39.000,2018-03-30
,Rapids Ride,ATTR,2019-09-27 09:49:00.000,2019-09-27 19:50:00.000,2019-09-28 07:49:55.000,2019-09-27
,PortAventura World,PARK,2022-04-30 08:30:00.000,2022-04-30 09:30:00.000,2022-05-01 08:27:08.000,2022-04-30
,Water Ride,ATTR,2020-02-02 09:37:00.000,2020-02-02 19:17:00.000,2020-02-03 07:25:37.000,2020-02-02
,PortAventura World,PARK,2019-10-02 10:00:00.000,2019-10-02 20:00:00.000,2019-10-03 09:47:45.000,2019-10-02
,Circus Train,ATTR,2018-02-04 09:53:00.000,2018-02-04 18:00:00.000,2018-02-05 07:52:21.000,2018-02-04
,Sling Shot,ATTR,2018-12-18 08:30:00.000,2018-12-18 18:07:00.000,2018-12-19 09:46:45.000,2018-12-18
,Free Fall,ATTR,2018-09-26 10:00:00.000,2018-09-26 18:01:00.000,2018-09-27 07:51:54.000,2018-09-26
,PortAventura World,PARK,2018-01-06 08:00:00.000,2018-01-06 09:00:00.000,2018-01-07 09:33:31.000,2018-01-06
,Aeroplane Ride,ATTR,2019-05-26 08:21:00.000,2019-05-26 20:11:00.000,2019-05-27 07:42:09.000,2019-05-26
,Bumper Cars,ATTR,2019-12-25 08:00:00.000,2019-12-25 21:11:00.000,2019-12-26 07:39:49.000,2019-12-25
,Drop Tower,ATTR,2018-11-02 08:30:00.000,2018-11-02 21:29:00.000,2018-11-03 07:59:42.000,2018-11-02
,Go-Karts,ATTR,2018-09-03 08:30:00.000,2018-09-03 21:21:00.000,2018-09-04 08:04:47.000,2018-09-03
,Swing Ride,ATTR,2018-04-07 08:30:00.000,2018-04-07 21:21:00.000,2018-04-08 08:45:20.000,2018-04-07
Fermeture Réhab,Bungee Jump,ATTR,2019-10-27 23:59:00.000,2019-10-27 23:59:00.000,2019-10-28 08:10:34.000,2019-10-27
,Bumper Cars,ATTR,2018-12-26 08:00:00.000,2018-12-26 21:07:00.000,2018-12-27 07:34:43.000,2018-12-26
,Merry Go Round,ATTR,2019-10-06 09:27:00.000,2019-10-06 21:00:00.000,2019-10-07 07:36:57.000,2019-10-06
,Skyway,ATTR,2019-11-19 08:22:00.000,2019-11-19 18:09:00.000,2019-11-20 07:59:06.000,2019-11-19
,Skyway,ATTR,2019-07-26 10:00:00.000,2019-07-26 20:09:00.000,2019-07-27 08:39:49.000,2019-07-26
Fermeture Réhab,Pirate Ship,ATTR,2019-06-30 23:59:00.000,2019-06-30 23:59:00.000,2019-07-01 07:27:15.000,2019-06-30
,Tivoli Gardens,PARK,2018-07-20 10:00:00.000,2018-07-20 20:00:00.000,2018-07-21 07:45:21.000,2018-07-20
,Rapids Ride,ATTR,2018-03-23 09:53:00.000,2018-03-23 19:06:00.000,2018-03-24 08:59:53.000,2018-03-23
,Drop Tower,ATTR,2018-03-08 08:30:00.000,2018-03-08 19:10:00.000,2018-03-09 08:46:56.000,2018-03-08
,Spinning Coaster,ATTR,2018-11-07 08:30:00.000,2018-11-07 19:15:00.000,2018-11-08 08:35:21.000,2018-11-07
,Zipline,ATTR,2022-07-29 08:03:00.000,2022-07-29 23:10:00.000,2022-07-30 10:23:37.000,2022-07-29
,Spiral Slide,ATTR,2022-04-12 09:59:00.000,2022-04-12 18:10:00.000,2022-04-13 08:20:21.000,2022-04-12
Fermeture Réhab,Pirate Ship,ATTR,2019-09-20 23:59:00.000,2019-09-20 23:59:00.000,2019-09-21 07:24:48.000,2019-09-20
,Zipline,ATTR,2022-04-12 08:30:00.000,2022-04-12 23:15:00.000,2022-04-13 08:20:16.000,2022-04-12
,Crazy Bus,ATTR,2019-03-10 08:30:00.000,2019-03-10 18:29:00.000,2019-03-11 07:28:25.000,2019-03-10
,Scooby Doo,ATTR,2022-04-20 08:24:00.000,2022-04-20 20:44:00.000,2022-04-21 08:16:41.000,2022-04-20
Fermeture Opérationnelle,Oz Theatre,ATTR,2018-06-05 23:59:00.000,2018-06-05 23:59:00.000,2018-06-06 07:27:25.000,2018-06-05
,Inverted Coaster,ATTR,2022-07-12 09:30:00.000,2022-07-12 18:07:00.000,2022-07-13 07:51:04.000,2022-07-12
